son,parent
2306589,732328
2306569,732328
731010,732328
765196,758510
1133842,792081
1255254,1255301
1255427,1031774
2433755,1282339
1314745,1282339
2356190,1155943
1047695,1249619
1080548,1146460
1075005,792081
1256306,792081
1069220,792081
2259747,743583
1025629,770119
1192783,779544
1100940,779544
1479726,1264056
1563084,1264056
1768682,1264056
1018891,1265221
1756254,1267634
501084,1055330
2471270,1089202
1068439,1251082
1058287,1089202
2097200,1243112
1025204,1265701
1757771,1299846
1772445,1075374
1027188,1338287
1111167,1228008
1209357,39504
1431965,39504
1000201,790550
1628648,1262291
1219934,1734246
1057883,746340
1154995,749360
1311196,749360
1650009,1000521
744229,1015451
1235507,1026133
1247834,1028996
1162565,1044750
1102345,1044750
2378755,1050595
1154158,1145067
2099078,1149710
1665656,1175221
1102441,1175221
1054534,738565
1043170,738565
2317926,759500
2262719,759524
1074419,759524
1148978,787681
1225243,1265910
1283734,1283736
1880287,1064471
1076283,1077522
1944710,2434228
1895627,1267404
2291982,135322
1285467,1025850
1314457,1061717
1480528,1334288
1017657,1102167
2212675,1137998
1050398,1200182
2495617,2495610
1087651,156795
1057774,156795
2271530,403884
2255712,403884
1336632,1241970
1013932,728357
1277630,1005120
1275187,1255486
1304573,1011579
2447566,1012065
1026630,1265611
1032611,1265914
1168307,1266196
1297660,1088139
1097887,1113398
2326297,1113398
1314156,1000885
2141010,274494
2301964,755186
734268,755186
752828,778931
1102903,790060
2109989,790060
2049582,790060
1125331,1007745
1258867,1267568
1095160,1042714
1179607,1337462
1066934,1088714
2310555,1097727
1645152,1223290
1627311,1001312
2013554,1332238
765335,751709
1348908,730986
1250289,730986
1099056,748920
1272263,1245986
1287814,1246516
1335752,1266574
1613541,1043133
1075427,1089050
1270027,1089050
2318627,1089050
1251133,1089050
1763228,1093832
1034715,1111694
1097554,1163068
2389468,730986
1051442,730986
1170032,730986
1108464,730986
1105485,730986
1325504,730986
1713642,730986
1326424,1273618
1629367,1244067
1203036,1025641
1682773,1035158
1797304,1035158
2318197,1073499
1043190,1074065
756382,1579662
1679586,1265305
1067147,1265305
1052277,1025641
1152297,739281
2065373,739281
1001520,739281
1023542,753684
1202024,790237
1236796,790237
1013840,1266708
1246344,1278837
2416317,1074933
1891294,1124339
651697,1226130
2351093,2489960
1087599,1182624
1598523,352240
1060634,733399
2463559,768027
1017167,2305761
1018801,1265835
2233842,1296969
1335311,1296969
1210429,1168296
1165633,2489501
1098694,1457453
724853,1011518
1043672,1228285
1356999,749128
1141049,770226
2192578,787593
1031392,787593
2064898,787593
1218552,1255132
1672055,1065454
1455558,1332116
1062923,1332116
1404576,1131991
1177731,1280107
1129575,1294624
1527596,1568160
1808866,727985
1930062,1243112
2106498,1245730
2454727,1007792
2454703,1007792
1067835,1007792
1019652,1007792
787929,1007792
1234000,1007792
1233717,1007792
1273174,1255233
127111,1014187
1841158,1260126
2440680,1319633
1077589,1073893
1002484,1133869
1947365,1140416
2389855,1633985
2175155,2419140
2486933,1256066
2480476,1256066
2196736,723008
2374431,723008
1092228,723008
1570800,726068
1941029,1015741
1896458,1015741
2244541,1015741
2198900,1015741
1015953,1265178
1274230,1274076
1078577,1086418
1284354,1153146
1203707,1425040
2357855,1425040
2413666,723008
2434460,1250177
1035799,1257046
2199085,1015741
1227916,1153146
2420826,723906
2321533,724717
1201870,750542
1103982,750542
2069994,750542
1284105,1002125
1172254,1262426
1437421,1293820
1849080,1078324
1378475,1169292
1583800,2494937
2398645,1254085
1457670,1011289
1457595,1011289
1457551,1011289
1457491,1011289
1457479,1011289
1152408,1011289
1101484,721441
1106875,788664
793240,790959
2291266,1008831
1902177,1265731
1772970,1265731
2023520,1414225
2196776,1266610
1495582,1284757
1994581,1017754
2354771,773325
2342973,796555
1068449,1010849
1139253,1088538
1208297,1164552
1127346,1164552
1071744,1164552
1024900,1164552
1000501,1164552
1006870,1228410
1888003,1251139
1158950,1251139
1609846,1251139
1159829,1256211
2380918,1262706
776887,1265682
1861913,1019763
1280017,1035454
1019615,1035454
1320723,1087236
1104699,1146175
1071134,2432662
2259885,2437555
1448211,2437555
2496218,1251147
2496202,1251147
1060293,1205708
1022972,773720
1445187,2303999
1200670,1266340
1556902,1267101
1580632,1485742
1115267,747097
2277349,751530
2277341,751530
2125249,1245604
1795309,794445
1223928,1249134
1147091,1262410
1119134,1262410
1159363,1267409
765695,1267409
1023005,1269775
2442391,1039624
2030461,1102629
1138988,1111371
